Age,Annual Income,Employment Status,Loan Amount,Existing Debts,Credit Utilization Ratio,Number of Credit Accounts,Payment History,Credit History Length,Number of Late Payments,Debt-to-Income Ratio,Loan Purpose,Creditworthy
55,35675,Self-Employed,22377,38821,0.44,6,0.93,9.1,1,0.28,Education,1
51,116941,Employed,71578,12265,0.29,13,0.99,18.7,0,0.16,Debt Consolidation,1
51,41746,Self-Employed,30214,20612,0.54,18,0.99,12.4,0,0.23,Debt Consolidation,0
57,122550,Employed,74597,68437,0.17,3,0.94,37.7,1,0.21,Auto,1
42,73649,Self-Employed,50782,38963,0.57,1,0.87,23.2,2,0.23,Major Purchase,1
50,62382,Employed,12034,46793,0.44,15,0.88,14.8,2,0.14,Auto,1
38,58945,Employed,22987,12039,0.39,13,0.93,16.1,1,0.12,Major Purchase,1
45,59688,Employed,1877,62059,0.28,5,0.99,1.3,0,0.13,Education,1
40,18697,Employed,14566,12379,0.68,13,0.87,12.5,2,0.27,Major Purchase,0
43,42640,Employed,28241,46266,0.27,5,0.94,18.8,1,0.29,Education,1
49,74800,Employed,21677,236,0.37,19,0.93,7.5,1,0.07,Business,0
32,47836,Employed,10642,36163,0.38,5,0.98,1.8,0,0.14,Debt Consolidation,1
67,24279,Retired,3540,12016,0.59,18,0.92,8.5,1,0.09,Business,1
29,47753,Employed,33849,28943,0.85,5,0.86,5.4,2,0.24,Debt Consolidation,0
27,114927,Employed,51483,102579,0.61,6,0.87,5.1,2,0.21,Debt Consolidation,0
55,91440,Employed,66293,24924,0.41,10,0.93,14.7,1,0.21,Home Improvement,1
51,47524,Employed,10914,11685,0.28,8,0.94,15.1,1,0.08,Debt Consolidation,0
49,78883,Self-Employed,41723,66546,0.64,15,0.82,15.1,3,0.23,Debt Consolidation,0
49,40812,Self-Employed,32093,25533,0.33,4,0.98,24.1,0,0.26,Major Purchase,1
41,20911,Employed,15836,5862,0.68,2,0.82,3.3,3,0.22,Education,1
31,30877,Employed,17740,17933,0.65,8,0.62,10.2,7,0.21,Business,0
42,107092,Employed,1579,59057,0.46,6,0.93,16.8,1,0.07,Major Purchase,1
33,42744,Employed,13587,35465,0.39,12,1.0,11.4,0,0.18,Home Improvement,1
53,43404,Employed,1645,138,0.42,3,0.78,26.0,4,0.02,Debt Consolidation,1
40,42196,Self-Employed,16702,29710,0.7,7,0.76,10.9,4,0.18,Debt Consolidation,0
32,127015,Employed,72799,90851,0.26,10,0.99,3.7,0,0.22,Home Improvement,1
38,110523,Employed,16928,98874,0.31,6,1.0,11.2,0,0.14,Education,1
46,148655,Employed,93345,133384,0.15,16,0.99,26.9,0,0.26,Home Improvement,1
35,45273,Self-Employed,32901,23914,0.61,2,0.92,10.4,1,0.24,Home Improvement,1
32,56829,Employed,28875,23357,0.46,8,0.88,1.1,2,0.17,Debt Consolidation,0
44,22963,Employed,9499,2819,0.88,17,0.91,2.5,1,0.11,Home Improvement,0
44,102587,Employed,1233,41465,0.65,13,0.99,25.8,0,0.05,Debt Consolidation,1
35,27340,Employed,18418,2246,0.34,1,0.99,2.2,0,0.17,Business,1
36,54632,Employed,13930,52631,0.3,6,0.94,1.8,1,0.18,Debt Consolidation,0
44,28320,Employed,16246,27425,0.57,5,1.0,9.8,0,0.25,Home Improvement,1
24,36518,Self-Employed,7017,18283,0.42,9,1.0,5.8,0,0.11,Debt Consolidation,1
25,32253,Employed,6121,10048,0.77,12,0.86,2.9,2,0.08,Auto,1
33,36172,Employed,16096,5122,0.46,7,0.88,6.7,2,0.12,Debt Consolidation,1
39,37437,Employed,2735,38240,0.38,12,1.0,13.7,0,0.14,Debt Consolidation,1
45,37267,Employed,5277,39241,0.28,7,1.0,1.6,0,0.16,Home Improvement,1
59,74359,Employed,1941,23761,0.39,15,0.88,36.9,2,0.04,Business,1
52,28213,Employed,1349,21049,0.44,3,0.99,18.1,0,0.1,Business,1
40,54735,Employed,28262,16988,0.56,16,0.82,10.8,3,0.16,Debt Consolidation,0
41,90127,Self-Employed,67941,24347,0.42,1,0.93,19.9,1,0.21,Auto,1
29,37926,Employed,8464,965,0.42,11,0.93,10.5,1,0.06,Debt Consolidation,1
41,34236,Employed,14508,23711,0.48,16,0.98,10.3,0,0.18,Debt Consolidation,1
38,43684,Self-Employed,33029,7859,0.78,12,0.81,4.3,3,0.2,Home Improvement,0
45,88420,Employed,68081,1312,0.52,19,0.82,22.2,3,0.19,Debt Consolidation,1
32,54016,Employed,29957,6796,0.75,11,0.99,6.2,0,0.15,Auto,1
48,37586,Employed,8896,14151,0.49,8,0.93,28.1,1,0.1,Major Purchase,1
60,62438,Employed,18738,50137,0.74,12,0.81,39.9,3,0.17,Debt Consolidation,1
40,28250,Self-Employed,12824,6868,0.48,15,0.93,3.4,1,0.14,Debt Consolidation,1
46,68918,Employed,41098,73404,0.37,2,0.98,26.8,0,0.27,Home Improvement,1
50,60132,Employed,5288,20816,0.28,17,0.94,12.4,1,0.06,Education,1
37,42028,Employed,26744,16704,0.56,7,0.92,12.6,1,0.2,Business,1
44,32231,Employed,22150,8430,0.31,13,0.93,1.9,1,0.2,Business,1
42,31465,Employed,23341,9583,0.87,1,0.81,21.4,3,0.21,Education,0
43,64049,Employed,46004,5697,0.37,6,0.83,16.4,3,0.18,Debt Consolidation,1
32,90625,Self-Employed,22091,32056,0.66,13,0.92,9.4,1,0.1,Auto,1
42,35644,Self-Employed,1900,36767,0.35,11,0.98,21.8,0,0.14,Debt Consolidation,1
47,61647,Employed,47702,50926,0.56,10,0.87,15.2,2,0.28,Major Purchase,0
59,17265,Employed,4341,18133,0.57,16,0.92,17.4,1,0.19,Debt Consolidation,1
53,36595,Self-Employed,25078,4604,0.62,17,0.82,30.4,3,0.18,Education,0
67,48265,Retired,17511,26388,0.64,17,0.92,36.6,1,0.15,Debt Consolidation,1
32,31106,Employed,19059,8557,0.68,4,0.82,13.3,3,0.18,Home Improvement,1
52,30691,Employed,19161,26561,0.46,5,0.93,32.0,1,0.25,Education,1
44,35105,Self-Employed,6165,40872,0.33,14,0.93,10.6,1,0.18,Education,0
68,56732,Employed,25809,55508,0.39,10,0.99,22.9,0,0.23,Auto,1
32,44637,Employed,11687,1889,0.78,14,0.81,4.3,3,0.07,Education,1
31,16008,Employed,1583,6082,0.57,12,0.87,8.9,2,0.07,Debt Consolidation,1
34,16977,Employed,2466,582,0.61,1,1.0,6.5,0,0.04,Business,1
18,36191,Employed,9694,1744,0.32,7,0.99,0.8,0,0.07,Business,1
35,61626,Employed,40518,5880,0.59,2,0.82,2.9,3,0.17,Debt Consolidation,0
32,15000,Self-Employed,2155,4973,0.36,13,0.99,2.5,0,0.07,Business,1
43,38182,Employed,27075,13937,0.59,18,0.82,5.9,3,0.21,Major Purchase,0
46,37679,Self-Employed,8960,18106,0.49,8,0.78,3.3,4,0.11,Education,0
64,98141,Employed,51087,47688,0.62,10,0.77,28.9,4,0.18,Debt Consolidation,1
53,40436,Employed,11783,37431,0.61,10,0.99,6.0,0,0.18,Education,0
35,59367,Employed,19378,10073,0.38,5,0.93,3.6,1,0.1,Debt Consolidation,1
31,52608,Employed,6156,9958,0.52,10,0.72,1.2,5,0.05,Education,0
47,16894,Employed,7281,12702,0.95,18,0.85,22.9,2,0.19,Home Improvement,0
26,71977,Unemployed,43405,49382,0.78,5,0.76,6.7,4,0.23,Major Purchase,0
63,54595,Self-Employed,31140,10089,0.81,6,0.91,8.1,1,0.16,Education,1
56,63204,Employed,11851,64639,0.34,3,1.0,28.4,0,0.17,Debt Consolidation,1
36,200000,Employed,57561,49358,0.21,8,0.99,8.4,0,0.1,Auto,1
21,17291,Unemployed,6364,7614,0.69,9,0.92,1.5,1,0.14,Debt Consolidation,0
58,116116,Employed,78008,58586,0.16,5,0.99,25.2,0,0.22,Debt Consolidation,1
40,42458,Employed,4974,16441,0.35,2,0.93,4.7,1,0.07,Home Improvement,0
56,56594,Employed,19888,37857,0.49,2,0.88,29.0,2,0.16,Debt Consolidation,0
22,47917,Unemployed,19530,22347,0.66,7,0.87,1.1,2,0.15,Major Purchase,0
34,39651,Employed,25053,12344,0.35,1,0.99,15.4,0,0.19,Home Improvement,0
42,36867,Employed,8304,40013,0.41,10,0.83,2.7,3,0.18,Auto,0
42,57800,Unemployed,2210,21387,0.84,12,0.76,14.3,4,0.05,Debt Consolidation,0
36,22957,Employed,9821,19241,0.54,2,0.92,16.3,1,0.2,Auto,0
49,71345,Employed,11909,29727,0.53,10,0.92,1.4,1,0.09,Education,1
29,39811,Employed,31174,20791,0.56,4,0.92,6.0,1,0.25,Home Improvement,0
40,27860,Self-Employed,22266,7888,0.41,1,1.0,8.4,0,0.23,Major Purchase,0
43,39143,Employed,7824,35337,0.88,4,0.71,14.9,5,0.16,Home Improvement,0
48,91910,Unemployed,39966,81307,0.81,13,0.81,7.5,3,0.21,Education,0
50,37508,Employed,27070,1000,0.6,12,0.87,3.0,2,0.18,Debt Consolidation,0
28,58643,Employed,2107,4235,0.5,11,0.88,6.6,2,0.02,Debt Consolidation,1
23,34013,Unemployed,12269,37646,0.6,10,0.72,2.7,5,0.22,Business,0
57,71607,Employed,38754,76375,0.28,15,0.94,24.7,1,0.26,Auto,1
45,69061,Employed,37202,41940,0.27,5,0.94,6.5,1,0.2,Home Improvement,1
33,123538,Employed,12246,73137,0.48,9,0.78,5.7,4,0.09,Business,0
60,44901,Employed,20199,43774,0.39,17,0.99,24.0,0,0.22,Home Improvement,0
43,68482,Employed,40829,11377,0.68,5,0.87,15.2,2,0.16,Education,1
56,51484,Employed,19419,40385,0.49,2,0.78,14.8,4,0.18,Home Improvement,0
42,93707,Employed,1169,53523,0.25,9,0.94,7.4,1,0.07,Education,1
66,34220,Employed,13949,30524,0.43,6,0.93,13.9,1,0.2,Debt Consolidation,1
63,71146,Employed,48313,2570,0.48,18,0.93,8.7,1,0.17,Home Improvement,1
39,44473,Unemployed,14199,31631,0.57,14,0.82,7.5,3,0.16,Major Purchase,0
53,47472,Employed,15476,31714,0.44,19,0.88,7.8,2,0.16,Debt Consolidation,1
49,51322,Employed,31899,51784,0.5,14,0.82,20.0,3,0.27,Debt Consolidation,1
58,55610,Employed,22399,45166,0.66,8,0.92,23.2,1,0.19,Debt Consolidation,1
30,46253,Employed,24281,48851,0.64,1,0.82,5.2,3,0.25,Debt Consolidation,1
50,54576,Employed,4034,58108,0.46,3,0.83,11.1,3,0.15,Home Improvement,1
54,107910,Self-Employed,14328,52853,0.38,10,0.93,9.3,1,0.09,Debt Consolidation,0
20,80235,Unemployed,45047,13232,0.82,1,0.61,1.5,7,0.15,Home Improvement,0
27,75703,Unemployed,54632,57256,0.78,11,0.86,8.4,2,0.26,Education,0
18,39035,Employed,20796,40928,0.68,8,0.82,0.7,3,0.25,Auto,0
38,31425,Self-Employed,5988,2826,0.73,1,0.81,15.1,3,0.06,Major Purchase,1
50,79035,Employed,8130,52914,0.71,13,0.66,26.9,6,0.11,Education,0
60,75964,Employed,48872,10482,0.75,4,0.86,15.4,2,0.17,Debt Consolidation,1
42,102368,Self-Employed,56251,3316,0.67,7,0.82,2.4,3,0.14,Debt Consolidation,0
61,36243,Employed,1791,29558,0.72,14,0.86,27.1,2,0.11,Auto,0
25,43705,Employed,13333,35760,0.36,5,0.83,2.1,3,0.17,Education,0
21,21595,Self-Employed,11743,15565,0.52,8,0.87,2.1,2,0.22,Debt Consolidation,0
41,40286,Employed,4841,41537,0.53,11,0.82,17.3,3,0.15,Debt Consolidation,1
46,80683,Employed,61558,7830,0.43,17,0.93,22.2,1,0.19,Auto,1
41,38822,Employed,4356,4903,0.57,5,0.87,7.6,2,0.04,Education,1
18,67524,Unemployed,41290,70051,0.59,4,0.87,0.6,2,0.27,Education,0
40,44566,Employed,5925,26914,0.59,3,0.72,14.0,5,0.1,Debt Consolidation,0
26,57643,Employed,11764,18887,0.33,5,0.93,6.7,1,0.09,Education,1
50,27616,Employed,13096,24461,0.63,15,0.87,24.6,2,0.22,Auto,1
46,51154,Employed,40468,54902,0.81,19,0.81,27.7,3,0.32,Business,1
30,15000,Employed,3094,12412,0.59,8,0.92,1.1,1,0.15,Auto,1
35,44647,Employed,7250,42428,0.29,13,0.89,8.0,2,0.15,Education,1
29,21693,Self-Employed,16362,7353,0.49,3,0.88,3.6,2,0.22,Education,0
41,89589,Unemployed,42575,31045,0.57,1,0.82,3.6,3,0.16,Home Improvement,0
53,72308,Self-Employed,47021,74979,0.37,9,0.93,32.0,1,0.28,Debt Consolidation,1
30,61903,Self-Employed,22636,45673,0.34,9,0.88,12.0,2,0.18,Business,1
48,104872,Employed,13185,29468,0.36,17,0.93,6.2,1,0.06,Home Improvement,1
35,30501,Self-Employed,8003,19184,0.68,8,0.82,1.6,3,0.14,Education,0
32,117439,Employed,82678,96655,0.26,2,0.98,4.6,0,0.27,Major Purchase,1
40,78127,Employed,54448,20489,0.58,9,0.92,18.5,1,0.2,Major Purchase,1
29,43552,Employed,6269,34226,0.75,8,0.91,3.9,1,0.13,Education,0
35,86492,Employed,10764,4374,0.68,3,0.92,1.9,1,0.04,Debt Consolidation,0
27,28193,Employed,12220,10274,0.79,5,0.86,1.4,2,0.15,Home Improvement,0
65,32459,Unemployed,17888,26251,0.69,9,0.77,20.7,4,0.23,Major Purchase,1
42,36159,Employed,15748,6480,0.34,13,0.93,22.4,1,0.13,Debt Consolidation,1
33,37628,Employed,19329,10032,0.55,1,0.82,5.0,3,0.16,Major Purchase,0
44,28903,Employed,19245,30489,0.59,15,0.72,11.7,5,0.29,Debt Consolidation,0
40,90358,Employed,31203,73115,0.46,4,0.88,3.1,2,0.18,Education,0
39,43069,Employed,21715,25785,0.53,4,0.87,10.9,2,0.19,Home Improvement,0
49,58469,Employed,43579,14796,0.46,10,0.88,21.9,2,0.21,Debt Consolidation,1
51,36857,Employed,3906,15099,0.34,6,0.93,9.7,1,0.07,Major Purchase,1
35,19726,Employed,12205,13594,0.62,11,0.82,5.7,3,0.23,Education,1
35,56107,Self-Employed,12808,10456,0.57,8,0.92,14.5,1,0.08,Debt Consolidation,1
38,18842,Employed,5728,10892,0.36,12,0.93,1.2,1,0.14,Home Improvement,1
18,47367,Self-Employed,25093,23246,0.43,4,0.88,0.7,2,0.19,Auto,1
23,24731,Employed,2569,14146,0.43,3,0.88,2.6,2,0.09,Debt Consolidation,0
58,132407,Employed,66675,15834,0.26,14,0.84,12.6,3,0.14,Business,1
61,77317,Self-Employed,5683,9880,0.31,1,0.99,28.6,0,0.03,Debt Consolidation,1
39,51682,Employed,40498,59792,0.55,10,0.99,17.7,0,0.33,Debt Consolidation,1
48,92212,Employed,27419,108370,0.41,15,0.99,17.2,0,0.21,Debt Consolidation,1
45,32107,Self-Employed,12156,16419,0.45,7,0.93,1.8,1,0.15,Debt Consolidation,0
75,64327,Retired,6062,60904,0.31,4,0.88,26.8,2,0.14,Debt Consolidation,1
55,54171,Employed,28745,42629,0.5,14,0.92,17.7,1,0.22,Major Purchase,0
40,55938,Employed,35940,7848,0.34,16,0.99,12.4,0,0.17,Debt Consolidation,1
30,92612,Unemployed,23463,32971,0.77,14,0.51,8.4,9,0.1,Debt Consolidation,0
22,70703,Self-Employed,37188,26611,0.5,3,0.82,1.1,3,0.17,Debt Consolidation,0
44,56633,Employed,7277,40488,0.49,17,0.88,13.6,2,0.12,Education,1
32,21430,Employed,12235,14914,0.47,5,0.88,8.6,2,0.22,Auto,1
24,30332,Employed,2249,33613,0.75,2,0.76,2.7,4,0.15,Auto,0
34,46103,Unemployed,31244,43707,0.84,3,0.91,11.0,1,0.28,Debt Consolidation,1
29,51363,Unemployed,3697,52811,0.59,6,0.72,3.3,5,0.14,Education,0
62,27858,Employed,3753,29792,0.66,19,0.67,14.6,6,0.16,Education,0
52,163707,Self-Employed,15903,120191,0.77,3,0.91,32.8,1,0.11,Home Improvement,1
41,104631,Employed,55086,41795,0.67,12,0.92,8.7,1,0.17,Home Improvement,0
59,66241,Employed,23849,17091,0.47,5,0.83,14.9,3,0.12,Auto,0
42,50818,Employed,37652,34866,0.47,10,0.99,14.7,0,0.26,Debt Consolidation,0
31,44085,Employed,8254,36479,0.44,9,0.88,12.7,2,0.14,Debt Consolidation,1
60,30456,Unemployed,1094,14127,0.89,1,0.76,41.3,4,0.06,Debt Consolidation,0
48,50957,Employed,5291,51874,0.57,13,0.87,17.8,2,0.15,Home Improvement,1
29,55763,Employed,15991,64276,0.36,3,0.98,1.0,0,0.21,Debt Consolidation,0
39,26347,Self-Employed,13809,18002,0.68,11,0.82,19.0,3,0.21,Education,0
31,57935,Self-Employed,14040,31743,0.77,6,0.76,7.8,4,0.12,Business,1
25,45359,Employed,9204,45878,0.3,8,0.84,3.2,3,0.17,Education,1
53,18884,Employed,3301,549,0.38,3,0.98,29.2,0,0.05,Home Improvement,1
64,31882,Employed,21467,4935,0.78,19,0.86,19.0,2,0.18,Auto,1
25,39862,Employed,23503,40451,0.56,6,1.0,1.2,0,0.26,Auto,1
48,125975,Unemployed,66233,109804,0.5,8,0.88,24.8,2,0.23,Home Improvement,1
34,64749,Self-Employed,1372,32332,0.46,6,0.93,9.2,1,0.07,Education,1
36,25141,Employed,5489,26815,0.47,13,0.93,6.7,1,0.18,Auto,1
34,62506,Employed,15201,26361,0.51,12,0.92,4.8,1,0.11,Debt Consolidation,0
31,22614,Employed,6851,17200,0.59,14,0.92,8.1,1,0.16,Home Improvement,1
42,84233,Self-Employed,64615,64117,0.84,10,0.76,5.8,4,0.28,Debt Consolidation,0
32,38732,Employed,18200,8567,0.24,3,0.94,5.2,1,0.14,Major Purchase,0
45,46778,Employed,30445,15989,0.39,4,0.99,17.5,0,0.2,Debt Consolidation,1
41,95120,Employed,60147,104556,0.21,1,0.94,20.4,1,0.28,Debt Consolidation,1
39,25755,Employed,12131,5668,0.71,13,0.86,11.7,2,0.14,Home Improvement,0
31,24378,Employed,2332,5077,0.59,8,0.87,10.1,2,0.05,Business,1
35,36614,Employed,15738,21072,0.34,4,0.93,13.2,1,0.17,Home Improvement,0
51,82387,Unemployed,12438,9115,1.17,11,0.69,22.3,5,0.05,Auto,0
48,22932,Self-Employed,17031,24618,1.02,19,0.85,8.1,2,0.31,Education,0
30,15000,Self-Employed,1755,1802,0.59,11,0.87,10.5,2,0.04,Education,0
43,39121,Employed,30948,28944,0.69,12,0.87,11.5,2,0.28,Business,1
51,64593,Employed,4525,26336,0.8,11,0.86,2.4,2,0.07,Debt Consolidation,1
21,89333,Unemployed,30884,86217,0.56,6,0.72,1.5,5,0.2,Major Purchase,0
48,38887,Employed,2796,27522,0.39,12,0.88,23.2,2,0.1,Business,0
34,39906,Self-Employed,14754,18594,0.45,11,0.83,2.0,3,0.14,Major Purchase,0
48,87286,Employed,13161,103053,0.7,9,0.91,5.3,1,0.18,Auto,1
32,19247,Employed,4059,1529,0.58,9,0.72,10.0,5,0.06,Business,0
20,40365,Unemployed,3177,27986,0.76,10,0.91,1.9,1,0.1,Debt Consolidation,0
22,53917,Unemployed,29132,64025,0.81,3,0.86,2.9,2,0.27,Debt Consolidation,0
42,61365,Employed,3050,50880,0.72,3,0.91,6.1,1,0.11,Debt Consolidation,1
45,37990,Employed,19373,33724,0.53,16,0.92,2.4,1,0.23,Debt Consolidation,0
31,49872,Employed,26130,1920,0.54,3,0.77,8.4,4,0.13,Auto,0
49,15000,Employed,6809,384,0.69,10,0.87,2.4,2,0.11,Debt Consolidation,1
22,35273,Employed,22997,1528,0.34,8,0.99,2.8,0,0.16,Debt Consolidation,1
41,61497,Employed,25841,73185,0.31,11,0.93,6.0,1,0.24,Auto,1
27,29997,Unemployed,11263,35258,1.01,8,0.7,8.2,5,0.23,Business,0
34,50488,Employed,26109,20266,0.81,6,0.76,8.1,4,0.17,Auto,0
42,61293,Employed,39744,21402,0.43,11,0.93,6.2,1,0.2,Business,1
31,41304,Employed,15338,7234,0.62,12,0.92,11.2,1,0.11,Education,1
37,53382,Employed,13175,21084,0.57,11,0.99,5.6,0,0.11,Business,1
54,30291,Self-Employed,2693,13454,0.4,12,0.83,11.7,3,0.07,Home Improvement,0
35,44209,Employed,29266,39696,0.57,16,0.72,14.3,5,0.27,Major Purchase,1
52,66510,Employed,46863,69140,0.62,18,0.92,11.2,1,0.29,Debt Consolidation,1
28,53023,Employed,28407,47512,0.39,13,0.99,4.7,0,0.24,Business,1
48,36560,Self-Employed,15838,28362,0.44,3,0.88,11.1,2,0.2,Education,0
59,54836,Employed,36688,50398,0.4,15,0.63,5.7,7,0.27,Education,0
18,70073,Unemployed,22229,62098,0.64,6,0.72,0.1,5,0.18,Auto,0
32,17589,Employed,5167,10041,0.54,12,0.82,10.4,3,0.14,Business,0
48,87512,Employed,23615,35269,0.27,14,0.79,19.7,4,0.11,Business,1
39,41434,Employed,22007,14059,0.62,14,0.87,6.6,2,0.17,Debt Consolidation,0
46,60642,Unemployed,42845,49436,0.94,5,0.75,9.0,4,0.27,Debt Consolidation,0
34,89198,Unemployed,39907,102681,0.71,5,0.81,15.2,3,0.25,Debt Consolidation,1
43,24690,Employed,2458,17215,0.89,14,0.76,24.7,4,0.11,Debt Consolidation,0
40,34381,Employed,21179,37648,0.54,8,0.82,10.9,3,0.28,Debt Consolidation,1
56,42434,Employed,12347,724,0.41,15,0.93,30.7,1,0.07,Auto,1
45,33127,Employed,4410,31581,0.6,15,0.77,20.2,4,0.15,Home Improvement,1
46,116712,Employed,54176,119550,0.52,19,0.87,9.0,2,0.23,Auto,1
37,31939,Self-Employed,23653,24183,0.76,10,0.86,2.1,2,0.27,Home Improvement,0
36,37131,Unemployed,1562,41618,0.75,4,0.71,3.4,5,0.14,Education,0
36,54295,Employed,7992,38435,0.31,6,0.99,15.3,0,0.12,Debt Consolidation,1
46,26874,Employed,13218,7756,0.35,19,0.99,20.7,0,0.15,Auto,1
36,40221,Self-Employed,24392,10411,0.41,11,0.93,12.3,1,0.18,Auto,0
45,57453,Self-Employed,41564,38321,0.48,8,0.93,4.4,1,0.25,Debt Consolidation,1
66,41505,Retired,31331,45148,0.85,6,0.91,31.1,1,0.31,Debt Consolidation,0
52,46784,Employed,23468,4062,0.31,15,0.88,26.5,2,0.13,Debt Consolidation,1
38,37621,Employed,20355,27285,0.54,3,0.87,17.4,2,0.22,Business,0
56,22988,Employed,17728,21235,0.59,10,0.87,1.5,2,0.3,Auto,0
37,57572,Employed,3716,7972,0.35,15,0.93,13.3,1,0.03,Education,1
18,117885,Employed,33361,16518,0.19,8,1.0,0.1,0,0.08,Debt Consolidation,1
29,49473,Employed,28254,21735,0.28,1,0.79,8.1,4,0.19,Debt Consolidation,0
19,54865,Employed,43632,18031,0.9,3,0.76,1.0,4,0.23,Debt Consolidation,0
37,69311,Employed,39428,16494,0.73,11,0.81,3.7,3,0.17,Debt Consolidation,0
42,25986,Employed,8232,6195,0.36,16,0.88,18.6,2,0.1,Debt Consolidation,1
62,114835,Self-Employed,22277,18006,0.4,5,0.88,3.9,2,0.07,Debt Consolidation,1
45,54239,Self-Employed,18503,39758,0.41,5,0.83,22.5,3,0.17,Education,0
39,110849,Employed,76640,91533,0.36,14,0.99,6.2,0,0.27,Home Improvement,1
51,33978,Employed,3262,28660,0.36,18,1.0,23.0,0,0.12,Home Improvement,1
18,121665,Unemployed,87921,77722,1.03,8,0.98,0.9,0,0.25,Education,1
44,72227,Employed,33235,82590,0.46,5,1.0,9.5,0,0.25,Education,1
51,64635,Employed,11644,68295,0.44,7,0.93,17.1,1,0.17,Education,1
24,55105,Employed,22687,63324,0.48,7,0.93,3.3,1,0.24,Debt Consolidation,1
55,43292,Employed,34550,20197,0.32,14,0.99,6.7,0,0.25,Business,1
46,89345,Employed,33864,94110,0.3,5,0.94,16.9,1,0.22,Business,1
37,52584,Self-Employed,9778,48137,0.88,8,0.98,14.4,0,0.15,Debt Consolidation,1
49,18333,Employed,14399,7479,0.62,9,0.87,28.5,2,0.24,Debt Consolidation,1
69,28040,Retired,14374,3586,0.47,4,0.88,43.5,2,0.14,Business,1
44,44670,Unemployed,22295,36591,0.57,4,0.82,13.8,3,0.22,Major Purchase,0
44,57239,Employed,19622,9372,0.61,16,0.82,19.0,3,0.1,Debt Consolidation,0
36,47653,Employed,26492,16798,0.55,8,0.99,14.6,0,0.18,Debt Consolidation,1
31,90173,Employed,20733,54142,0.43,1,0.88,6.9,2,0.13,Business,1
51,18480,Employed,11778,15077,0.53,15,0.87,4.7,2,0.25,Debt Consolidation,1
31,52669,Employed,13372,58539,0.68,4,0.77,6.3,4,0.19,Business,1
42,19752,Employed,14646,14060,0.45,6,0.83,20.4,3,0.26,Debt Consolidation,1
36,71672,Employed,36256,57745,0.45,16,0.88,11.1,2,0.22,Business,1
47,46759,Employed,8817,17394,0.49,4,0.99,21.3,0,0.09,Debt Consolidation,1
46,60464,Employed,20221,49867,0.59,6,0.92,6.0,1,0.18,Debt Consolidation,1
54,31826,Employed,17383,16719,0.86,5,0.91,34.8,1,0.19,Major Purchase,0
35,92942,Employed,19225,95573,0.37,16,0.88,7.5,2,0.17,Debt Consolidation,1
38,82525,Employed,59546,38864,0.38,16,0.88,13.4,2,0.23,Debt Consolidation,1
30,65628,Employed,9064,36877,0.35,10,0.98,1.2,0,0.1,Business,1
36,45946,Unemployed,14986,23850,0.73,9,0.56,3.2,8,0.14,Debt Consolidation,0
46,65508,Employed,42689,63761,0.37,4,0.88,22.1,2,0.27,Debt Consolidation,1
51,34425,Employed,1316,39397,0.71,14,0.91,32.0,1,0.15,Debt Consolidation,1
30,75190,Self-Employed,57605,29529,0.43,4,0.83,4.5,3,0.23,Education,1
52,111830,Employed,33843,63746,0.62,12,0.87,2.2,2,0.14,Auto,0
58,83726,Employed,45006,70925,0.29,10,0.94,15.1,1,0.23,Business,1
46,34036,Self-Employed,1203,36570,0.32,4,0.93,1.5,1,0.14,Home Improvement,1
64,58730,Self-Employed,41663,34794,0.63,18,0.87,9.7,2,0.24,Home Improvement,1
32,25679,Employed,7567,3355,0.99,13,0.8,10.8,3,0.09,Home Improvement,0
27,65263,Employed,47814,28872,0.52,2,0.92,8.5,1,0.23,Business,1
20,61408,Unemployed,46248,40555,0.82,1,0.76,1.1,4,0.26,Auto,0
59,19246,Self-Employed,8460,9642,0.38,16,0.88,23.3,2,0.17,Business,0
49,27422,Employed,21159,6138,0.36,15,1.0,8.6,0,0.21,Major Purchase,0
41,42549,Employed,28520,1888,0.77,5,0.91,4.1,1,0.17,Debt Consolidation,0
45,42174,Self-Employed,25462,34788,0.64,6,1.0,6.7,0,0.24,Home Improvement,1
28,26776,Employed,5355,31897,0.39,6,0.88,6.2,2,0.19,Education,1
71,59545,Retired,32935,65680,0.98,3,0.7,4.4,5,0.27,Debt Consolidation,0
43,55588,Employed,3663,45577,0.76,16,0.91,11.4,1,0.11,Debt Consolidation,1
43,44483,Employed,28339,44920,0.61,12,0.99,4.2,0,0.27,Business,1
50,33594,Employed,24768,10308,0.73,4,0.98,9.5,0,0.21,Home Improvement,0
47,82814,Self-Employed,20546,61855,0.34,1,1.0,6.3,0,0.15,Education,1
44,112162,Employed,74925,8156,0.51,4,0.92,23.1,1,0.17,Education,1
32,38492,Employed,22462,32664,0.44,1,0.83,10.2,3,0.24,Auto,0
47,36095,Employed,1038,42009,0.32,8,0.83,25.3,3,0.15,Debt Consolidation,1
64,62667,Employed,48812,64731,0.5,5,0.92,18.3,1,0.31,Education,0
58,40985,Unemployed,28094,26284,0.99,2,0.75,13.2,4,0.24,Home Improvement,0
61,45720,Employed,11318,43273,0.52,12,0.99,17.0,0,0.17,Business,1
35,70956,Employed,9920,80370,0.54,6,0.92,1.3,1,0.17,Home Improvement,1
30,18869,Unemployed,13091,4891,0.95,1,0.65,9.0,6,0.2,Major Purchase,0
